name,type,start_time,duration,"ack","address","read","data","error"
"I2C","start",0.00525136,1.6e-07,,,,,
"I2C","address",0.00528928,2.544e-05,true,0x73,false,,
"I2C","data",0.00532496,2.544e-05,true,,,0x10,
"I2C","start",0.00540272,1.6e-07,,,,,
"I2C","address",0.00540608,2.544e-05,true,0x73,true,,
"I2C","data",0.00543312,2.544e-05,true,,,0x04,
"I2C","data",0.00546016,2.544e-05,false,,,0x00,
"I2C","stop",0.00549744,1.6e-07,,,,,
"I2C","start",0.00565328,1.6e-07,,,,,
"I2C","address",0.00568976,2.544e-05,true,0x73,false,,
"I2C","data",0.0057256,2.528e-05,true,,,0x10,
"I2C","start",0.0058032,1.6e-07,,,,,
"I2C","address",0.00580656,2.528e-05,true,0x73,true,,
"I2C","data",0.00583344,2.528e-05,true,,,0x04,
"I2C","data",0.00586048,2.528e-05,false,,,0x00,
"I2C","stop",0.00589744,1.6e-07,,,,,
"I2C","start",0.0060296,1.6e-07,,,,,
"I2C","address",0.00606608,2.528e-05,true,0x73,false,,
"I2C","data",0.00610176,2.528e-05,true,,,0x19,
"I2C","start",0.00617952,1.6e-07,,,,,
"I2C","address",0.00618288,2.528e-05,true,0x73,true,,
"I2C","data",0.00620992,2.544e-05,false,,,0x51,
"I2C","stop",0.0062936,1.6e-07,,,,,
"I2C","start",0.00644528,1.6e-07,,,,,
"I2C","address",0.00648048,2.544e-05,true,0x73,false,,
"I2C","data",0.00651632,2.544e-05,true,,,0x30,
"I2C","start",0.00659376,1.6e-07,,,,,
"I2C","address",0.00659712,2.544e-05,true,0x73,true,,
"I2C","data",0.00662416,2.544e-05,true,,,0x0B,
"I2C","data",0.0066512,2.544e-05,true,,,0x00,
"I2C","data",0.00679824,2.544e-05,true,,,0x8F,
"I2C","data",0.00682528,2.544e-05,true,,,0x2F,
"I2C","data",0.006972,2.544e-05,true,,,0x06,
"I2C","data",0.0069992,2.544e-05,true,,,0xA1,
"I2C","data",0.00702624,2.544e-05,true,,,0x01,
"I2C","data",0.00705328,2.544e-05,true,,,0xFF,
"I2C","data",0.00708048,2.528e-05,true,,,0x9A,
